Year,AverageTemperature,MinimumTemperature,MaximumTemperature,LandOceanAverageTemperature,LandOceanMinimumTemperature,LandOceanMaximumTemperature
1750,8.719,2.772,15.868,,,
1751,7.976,0.963,14.405,,,
1752,5.78,0.348,8.265,,,
1753,8.388,0.559,15.092,,,
1754,8.469,-1.249,14.681,,,
1755,8.356,-0.108,15.38,,,
1756,8.85,2.165,14.547,,,
1757,9.022,-0.276,17.91,,,
1758,6.744,-1.503,13.847,,,
1759,7.985,0.247,14.587,,,
1760,7.185,-0.811,13.917,,,
1761,8.773,-0.837,19.021,,,
1762,8.607,3.123,14.72,,,
1763,7.497,0.771,16.391,,,
1764,8.4,1.741,12.507,,,
1765,8.252,2.399,13.953,,,
1766,8.406,-0.793,13.758,,,
1767,8.222,-0.643,14.597,,,
1768,6.781,-2.08,13.875,,,
1769,7.695,-0.978,15.142,,,
1770,7.692,1.612,11.884,,,
1771,7.853,-0.274,14.204,,,
1772,8.194,1.253,14.581,,,
1773,8.222,-0.437,14.484,,,
1774,8.772,-0.325,16.521,,,
1775,9.183,1.284,14.719,,,
1776,8.304,-0.806,14.837,,,
1777,8.256,3.067,12.815,,,
1778,8.542,2.101,15.037,,,
1779,8.983,1.47,14.18,,,
1780,9.433,2.515,16.183,,,
1781,8.103,2.267,14.285,,,
1782,7.901,0.341,15.683,,,
1783,7.681,-1.431,14.34,,,
1784,7.862,0.989,15.861,,,
1785,7.363,0.865,14.468,,,
1786,8.258,0.734,15.294,,,
1787,8.032,1.796,14.369,,,
1788,8.447,0.735,16.468,,,
1789,8.334,1.675,15.462,,,
1790,7.982,2.444,13.925,,,
1791,8.234,1.493,13.744,,,
1792,8.089,0.348,14.212,,,
1793,8.229,0.521,14.336,,,
1794,8.526,2.918,13.484,,,
1795,8.35,2.573,14.295,,,
1796,8.271,1.259,14.722,,,
1797,8.511,3.275,14.107,,,
1798,8.67,2.027,14.951,,,
1799,8.506,1.923,14.869,,,
1800,8.484,2.815,13.763,,,
1801,8.59,2.687,14.676,,,
1802,8.578,2.828,14.628,,,
1803,8.503,0.602,15.366,,,
1804,8.845,1.939,15.774,,,
1805,8.563,2.557,15.27,,,
1806,8.434,2.917,14.593,,,
1807,8.281,1.055,14.138,,,
1808,7.627,0.887,14.491,,,
1809,7.076,0.208,12.998,,,
1810,6.923,0.888,12.551,,,
1811,6.86,0.45,13.326,,,
1812,7.046,0.131,15.018,,,
1813,7.74,-1.385,14.521,,,
1814,7.592,1.502,12.818,,,
1815,7.239,1.221,14.394,,,
1816,6.938,0.676,12.57,,,
1817,6.976,0.17,13.403,,,
1818,7.829,0.755,13.825,,,
1819,7.369,1.014,13.038,,,
1820,7.616,1.236,13.323,,,
1821,8.09,2.717,13.145,,,
1822,8.188,1.021,14.212,,,
1823,7.719,1.758,14.197,,,
1824,8.547,2.651,14.83,,,
1825,8.389,3.037,14.007,,,
1826,8.357,1.533,14.482,,,
1827,8.809,2.722,14.684,,,
1828,8.165,0.595,14.384,,,
1829,7.942,1.715,14.225,,,
1830,8.517,2.957,14.942,,,
1831,7.639,2.182,13.58,,,
1832,7.45,0.782,13.727,,,
1833,8.013,2.006,13.803,,,
1834,8.147,0.334,14.197,,,
1835,7.393,1.198,13.129,,,
1836,7.696,1.67,13.646,,,
1837,7.376,1.94,13.526,,,
1838,7.515,-0.557,14.367,,,
1839,7.632,1.074,14.411,,,
1840,7.796,1.909,14.714,,,
1841,7.688,0.649,14.552,,,
1842,8.023,1.636,13.584,,,
1843,8.174,2.974,13.991,,,
1844,7.646,1.868,13.921,,,
1845,7.851,1.627,14.319,,,
1846,8.553,3.213,14.923,,,
1847,8.086,1.726,14.25,,,
1848,7.98,0.51,14.466,,,
1849,7.984,1.923,14.458,,,
1850,7.901,0.749,14.492,14.867,12.833,16.783
1851,8.179,2.431,14.531,14.992,13.245,16.831
1852,8.1,2.376,14.512,15.007,13.231,16.984
1853,8.042,1.786,14.645,14.955,13.143,16.999
1854,8.211,1.281,14.692,14.991,12.983,16.775
1855,8.111,2.214,13.926,15.021,13.215,16.685
1856,7.996,2.226,14.019,14.879,13.311,16.675
1857,7.758,1.821,13.953,14.758,12.972,16.478
1858,8.1,2.284,13.677,14.882,13.221,16.51
1859,8.252,2.015,13.827,14.93,13.058,16.494
1860,7.961,1.634,14.203,14.883,12.828,16.737
1861,7.847,0.404,13.967,14.801,12.475,16.716
1862,7.559,0.685,13.928,14.74,12.658,16.593
1863,8.112,2.651,13.765,14.936,13.296,16.575
1864,7.984,1.551,14.162,14.897,12.879,16.715
1865,8.178,2.152,14.22,14.997,13.26,16.749
1866,8.292,2.274,14.602,15.057,13.467,17.06
1867,8.436,2.482,14.223,15.059,13.371,16.672
1868,8.248,1.834,14.514,15.097,13.012,17.025
1869,8.432,2.115,14.337,15.066,13.289,16.711
1870,8.201,2.082,14.599,15.004,13.176,16.86
1871,8.115,1.447,14.29,15.006,13.089,16.858
1872,8.194,1.652,14.285,15.019,13.041,16.843
1873,8.351,2.013,14.287,15.049,13.353,16.805
1874,8.434,2.685,14.122,14.957,13.392,16.745
1875,7.86,1.533,14.144,14.922,13.027,16.683
1876,8.08,1.856,14.319,14.909,13.1,16.848
1877,8.54,2.286,14.642,15.283,13.306,17.076
1878,8.83,2.017,14.742,15.357,13.526,16.999
1879,8.166,2.303,14.238,15.064,13.318,16.746
1880,8.119,1.755,14.141,15.009,13.129,16.695
1881,8.271,2.461,14.203,15.087,13.396,16.783
1882,8.129,2.205,13.747,15.057,13.187,16.678
1883,7.977,1.46,14.011,14.963,13.106,16.664
1884,7.774,2.12,13.622,14.833,13.27,16.434
1885,7.92,1.003,13.972,14.854,12.889,16.601
1886,7.955,1.436,14.226,14.835,13.001,16.622
1887,7.915,0.824,14.021,14.816,12.62,16.63
1888,8.091,1.708,14.242,14.994,13.132,16.686
1889,8.319,1.762,14.225,15.113,13.401,16.796
1890,7.972,1.836,14.034,14.841,13.068,16.528
1891,8.019,1.678,13.93,14.944,13.037,16.62
1892,8.066,2.018,13.89,14.883,13.196,16.476
1893,8.057,0.5,14.318,14.912,12.702,16.788
1894,8.161,1.691,14.004,14.915,13.039,16.687
1895,8.147,1.295,14.053,14.969,13.084,16.716
1896,8.215,2.291,14.233,15.091,13.366,16.866
1897,8.293,1.893,14.31,15.075,13.312,16.783
1898,8.178,2.354,14.138,14.887,13.351,16.627
1899,8.396,2.38,14.159,15.048,13.306,16.746
1900,8.502,1.461,14.171,15.144,13.142,16.785
1901,8.542,2.191,14.339,15.073,13.29,16.718
1902,8.304,2.684,14.231,14.958,13.24,16.69
1903,8.22,2.514,13.992,14.837,13.205,16.496
1904,8.091,1.637,13.836,14.81,12.957,16.525
1905,8.225,1.927,14.077,14.955,13.205,16.651
1906,8.379,2.068,14.122,15.032,13.25,16.662
1907,7.947,1.798,13.769,14.875,13.108,16.596
1908,8.186,2.304,14.197,14.838,13.16,16.618
1909,8.178,1.395,14.06,14.79,12.839,16.496
1910,8.223,2.333,14.279,14.819,13.016,16.543
1911,8.177,1.66,14.082,14.776,12.908,16.431
1912,8.165,2.402,13.723,14.877,13.23,16.509
1913,8.298,2.083,14.137,14.909,13.066,16.552
1914,8.591,3.2,14.298,15.076,13.545,16.692
1915,8.593,2.299,14.443,15.144,13.32,16.817
1916,8.225,2.316,14.052,14.901,13.006,16.599
1917,8.023,2.133,14.259,14.81,12.84,16.706
1918,8.131,1.934,14.002,14.96,13.129,16.596
1919,8.382,2.184,14.274,15.007,13.263,16.582
1920,8.359,2.629,14.245,15.026,13.257,16.693
1921,8.571,2.98,14.436,15.102,13.439,16.783
1922,8.408,2.15,14.278,15.012,13.177,16.745
1923,8.422,2.487,13.984,15.028,13.24,16.628
1924,8.507,2.339,14.304,15.039,13.303,16.724
1925,8.534,2.268,14.066,15.09,13.157,16.74
1926,8.729,3.366,14.168,15.241,13.538,16.8
1927,8.522,2.372,14.323,15.122,13.323,16.812
1928,8.632,3.046,14.31,15.132,13.568,16.796
1929,8.242,2.054,13.957,14.967,13.137,16.671
1930,8.634,2.401,14.465,15.173,13.26,16.854
1931,8.719,2.708,14.576,15.228,13.529,16.967
1932,8.705,2.989,14.372,15.188,13.558,16.846
1933,8.338,2.169,14.236,15.013,13.26,16.704
1934,8.628,2.476,14.343,15.145,13.276,16.851
1935,8.516,2.175,14.331,15.119,13.299,16.848
1936,8.554,2.249,14.629,15.166,13.26,16.928
1937,8.698,2.453,14.375,15.301,13.417,17.054
1938,8.864,2.91,14.482,15.293,13.556,16.904
1939,8.76,2.932,14.395,15.302,13.538,16.988
1940,8.765,2.335,14.571,15.372,13.576,17.123
1941,8.769,2.735,14.694,15.385,13.622,17.131
1942,8.728,2.857,14.242,15.325,13.773,16.902
1943,8.755,2.396,14.46,15.345,13.522,16.95
1944,8.845,3.434,14.468,15.449,13.767,17.119
1945,8.585,2.525,14.313,15.331,13.586,17.106
1946,8.677,2.979,14.409,15.263,13.528,16.944
1947,8.797,2.597,14.349,15.31,13.532,16.973
1948,8.747,3.22,14.445,15.261,13.54,16.938
1949,8.587,2.759,14.199,15.223,13.633,16.807
1950,8.365,2.008,14.14,15.14,13.311,16.981
1951,8.626,2.138,14.324,15.311,13.341,17.081
1952,8.638,3.049,14.549,15.363,13.762,17.068
1953,8.874,2.964,14.392,15.421,13.642,17.088
1954,8.561,2.059,14.241,15.231,13.38,16.851
1955,8.626,3.137,14.283,15.174,13.522,16.899
1956,8.28,2.466,14.18,15.106,13.444,16.83
1957,8.733,2.488,14.129,15.374,13.473,17.049
1958,8.774,3.574,14.438,15.382,13.829,17.039
1959,8.733,2.959,14.449,15.341,13.636,17.002
1960,8.584,2.713,14.198,15.292,13.553,16.985
1961,8.798,2.926,14.288,15.38,13.664,16.987
1962,8.746,3.003,14.205,15.326,13.655,16.952
1963,8.856,2.901,14.506,15.377,13.594,17.089
1964,8.41,2.881,14.301,15.117,13.522,16.784
1965,8.527,2.862,14.078,15.196,13.545,16.803
1966,8.599,2.49,14.569,15.265,13.495,17.033
1967,8.7,2.71,14.331,15.294,13.527,16.97
1968,8.516,2.353,14.026,15.264,13.389,16.887
1969,8.595,1.966,14.218,15.391,13.518,16.945
1970,8.701,2.836,14.395,15.333,13.707,16.912
1971,8.599,2.867,14.139,15.2,13.615,16.846
1972,8.5,1.882,14.231,15.293,13.298,16.978
1973,8.948,3.038,14.435,15.405,13.711,17.002
1974,8.468,2.261,14.288,15.168,13.3,16.912
1975,8.745,3.059,14.351,15.239,13.557,16.877
1976,8.347,2.884,14.155,15.131,13.442,16.864
1977,8.85,2.492,14.631,15.408,13.647,17.047
1978,8.693,2.705,14.364,15.301,13.587,16.935
1979,8.733,2.679,14.114,15.414,13.63,16.992
1980,8.98,2.956,14.742,15.492,13.812,17.171
1981,9.166,3.785,14.738,15.516,13.963,17.217
1982,8.639,2.558,14.545,15.342,13.587,17
1983,9.028,3.445,14.408,15.52,13.886,17.145
1984,8.692,2.941,14.429,15.344,13.604,16.972
1985,8.658,2.704,14.059,15.341,13.678,17.013
1986,8.834,3.315,14.293,15.384,13.724,16.991
1987,8.994,3.139,14.89,15.525,13.758,17.296
1988,9.202,3.422,14.798,15.556,13.923,17.179
1989,8.922,2.71,14.612,15.442,13.566,17.15
1990,9.234,3.243,14.784,15.629,13.891,17.246
1991,9.179,3.195,14.987,15.598,13.859,17.348
1992,8.837,3.579,14.139,15.453,13.902,17.001
1993,8.867,3.301,14.595,15.466,13.896,17.155
1994,9.039,2.81,14.658,15.535,13.731,17.183
1995,9.347,3.54,15.116,15.638,13.945,17.375
1996,9.039,2.862,14.827,15.525,13.721,17.22
1997,9.203,3.165,14.565,15.714,13.818,17.307
1998,9.523,3.352,15.34,15.826,14.063,17.609
1999,9.285,3.544,14.853,15.6,13.933,17.218
2000,9.201,2.95,14.848,15.611,13.773,17.243
2001,9.415,3.336,15.161,15.768,13.936,17.45
2002,9.57,4.026,15.354,15.829,14.127,17.487
2003,9.526,3.981,14.983,15.827,14.207,17.423
2004,9.325,3.525,14.312,15.757,14.097,17.266
2005,9.701,3.808,15.19,15.879,14.159,17.503
2006,9.533,3.286,15.042,15.814,13.99,17.479
2007,9.732,4.221,15.23,15.827,14.11,17.485
2008,9.432,2.844,15.174,15.721,13.719,17.449
2009,9.505,3.687,15.231,15.827,14.091,17.578
2010,9.703,3.737,15.213,15.896,14.117,17.532
2011,9.516,3.282,15.482,15.77,13.928,17.568
2012,9.507,3.157,15.076,15.802,13.859,17.45
2013,9.607,3.685,15.003,15.854,14.117,17.503
2014,9.571,3.5,14.875,15.913,14.136,17.607
2015,9.831,3.881,15.051,16.059,14.255,17.611
